_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
26878,ILAM PATHIBHARA ENGLISH SCHOOL PVT.,Ilam,Private,2059
26879,ILAM PUWA VALLEY ENGLISH BOARDING SCHOOL PVT.,Ilam,Private,2059
26880,ILAM NEW LIGHT ENGLISH SECONDARY SCHOOL,Ilam,Private,2059
26881,ILAM TINJURE ACADEMY ANGREJI BOARDING SCHOOL,Ilam,Private,2059
26882,ILAM PANCHAKANYA AWASIYA VIDHYA MANDIR PVT.,Ilam,Private,2059
26883,LITTLE FLOWERS PUBLIC SCHOOL LALITPUR,Lalitpur,Private,2059
26884,SHREE GALAXY ENGLISH BOARDING SCHOOL CHITWAN,Chitwan,Private,2059
26885,CANAL CENTER ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059
26886,A TO Z HOME SERVICES,Kathmandu,Private,2059
26887,POKHARA PUBLIC SCHOOL,Kaski,Private,2059
26888,JUGMUG SUPPLIERS,Kathmandu,Private,2059
26889,Milestone  public  academy  kanchanpure,Kanchanpur,Private,2059
26890,GYAN-SIKHA BOARDING SCHOOL LALITPUR,Lalitpur,Private,2059
26891,UJJWAL SHISHU ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059
26892,BHU.PU. SAINIK AWASIYA MADHYAMIK VIDHYALAYA SYANGJA,Syangja,Private,2059
26893,ASHIRVAD BOARDING SCHOOL,Kathmandu,Private,2059
26894,MOTHERLAND ACADEMY KASKI,Kaski,Private,2059
26895,SANU MEMORIAL ENGLISH SCHOOL,Kathmandu,Private,2059
26896,GAURISHANKAR E.B.S. SCHOOL,Lalitpur,Private,2059
26897,UNITED EDUCATIONAL ACADEMY,Banke,Private,2059
26898,AMAR ENGLISH SECONDARY BOARDING SCHOOL AMARAPURI,Nawalparasi,Private,2059
26899,BELDIHA SURYODAYA VIDYA MANDIR,Nawalparasi,Private,2059
26900,Yeti Airlines Domestic,Kathmandu,Private,2059
26901,Pragya Jyoti English School,Kathmandu,Private,2059
26902,GAURAV INVESTMENT,Kathmandu,Private,2059
26903,SUNRISE ENGLISH BOARDING SCHOOL,Sarlahi,Private,2059
26904,ETERNAL LIGHT PUBLIC HIGH SCHOOL,Kathmandu,Private,2059
26905,CRISPY FOOD PRODUCT,Lalitpur,Private,2059
26906,NEW GURKHAS INTERNATIONAL,Kathmandu,Private,2059
26907,EX ARMY PUBLIC ENGLISH SCHOOL NABALPARASI,Nawalparasi,Private,2059
26908,ENVIROTECH,Kathmandu,Private,2059
26909,ROSHAN ENGLISH SCHOOL,Bhaktapur,Private,2059
26910,DAFFODILS PUBLIC SCHOOL,Dhanusha,Private,2059
26911,A.K. AUTO WORKSHOP,Lalitpur,Private,2059
26912,ANANTA MANGAL SADAN,Kathmandu,Private,2059
26913,NEPA DEVELOPMENT COMPANY,Kathmandu,Private,2059
26914,SELF ELECTRONICS,Kathmandu,Private,2059
26915,AMAR ADARSHA ASAHAYA SCHOOL,Kailali,Private,2059
26916,"LALI GURUNS ENGLISH BOARDING SCHOOL, DHARAN",Sunsari,Private,2059
26917,BUDDHA JYOTI UCHCHA MADHYAMIK VIDHYALAYA RUPANDEHI,Rupandehi,Private,2059
26918,SAMYUKTA SEWA,Kathmandu,Private,2059
26919,WEST POINT CHILDRENS ACADEMY KASKI,Kaski,Private,2059
26920,PITHAULI WISE VISION ENGLISH SCHOOL,Nawalparasi,Private,2059
26921,NATIONAL PROJECT FOR THE RURAL AND TOWN DEVELOPMENT,Kathmandu,Private,2059
26922,LITTLE ANGEL AAWASHIYA VIDHYALAYA DANG PVT.,Dang,Private,2059
26923,PEACE LAND CHITWAN,Chitwan,Private,2059
26924,MAHAKAVI DEVKOTA MEMORIAL MADHYAMIK BIDHLAYA,Kathmandu,Private,2059
26925,NEPAL TRANSPORT MANAGEMENT COMPANY,Kathmandu,Private,2059
26926,SHREE SWAYAMBHU ITTA UDHYOG,Banke,Private,2059
26927,SHREE NEW LITTLE FLOWER ENGLISH MEDIUM SCHOOL BAJHANG,Bajhang,Private,2059
26928,MANSAROVAR BIGYAN TATHA PRABIDHI PRATISTHAN NEPAL,Jhapa,Private,2059
26929,North point Academy School,Kathmandu,Private,2059
26930,SHANTI SAMAJ & SAIKSHIK PRASTHAN,Kathmandu,Private,2059
